model,age_group,n_samples,n_runs,mae_mean,mae_sd,bias_mean,bias_sd
CNN based GNN,0,151,15,0.188,0.082,0.1826,0.0857
CNN based GNN,0-20,72,15,1.8593,0.1784,0.7376,0.3077
CNN based GNN,20-45,210,15,3.7133,0.3961,0.4448,0.8156
CNN based GNN,45-55,87,15,4.1943,0.5911,0.9853,1.1189
CNN based GNN,55-65,120,15,4.5911,0.3389,-1.3038,1.1679
CNN based GNN,65-75,86,15,5.6088,0.5653,-3.616,1.2151
CNN based GNN,75-80,20,15,7.2957,1.2493,-7.1759,1.3344
CNN based GNN,80+,10,15,8.8346,0.9846,-8.7199,1.1186
none/PNA,0,151,15,0.2561,0.0448,0.2427,0.0495
none/PNA,0-20,72,15,2.1449,0.1719,0.5737,0.3872
none/PNA,20-45,210,15,3.8925,0.2922,0.6846,0.6731
none/PNA,45-55,87,15,4.3069,0.5291,1.0655,0.9635
none/PNA,55-65,120,15,4.6039,0.301,-1.1605,1.0394
none/PNA,65-75,86,15,5.7025,0.5909,-3.7818,1.2727
none/PNA,75-80,20,15,8.1114,1.3971,-8.1037,1.4046
none/PNA,80+,10,15,9.3126,1.3802,-9.3126,1.3802
cnn nograph,0,151,15,0.3067,0.0674,0.3036,0.0683
cnn nograph,0-20,72,15,2.0552,0.2194,0.7029,0.2419
cnn nograph,20-45,210,15,3.7278,0.3054,0.5915,0.6219
cnn nograph,45-55,87,15,4.3222,0.4295,1.3257,0.8217
cnn nograph,55-65,120,15,4.7362,0.1984,-0.8774,0.7764
cnn nograph,65-75,86,15,5.5046,0.3224,-3.5382,0.6429
cnn nograph,75-80,20,15,7.587,0.7899,-7.5796,0.7932
cnn nograph,80+,10,15,8.9571,1.4077,-8.9571,1.4077
