model,fold,seed,n_test,MAE,MedAE,RMSE,MSE,R2,r,bias,p90,failed
none/PNA ,0,0,756,3.6635,2.1777,5.8399,34.104,0.9504,0.979,-1.8792,9.6166,0
none/PNA ,0,1,756,3.4652,1.972,5.5029,30.2814,0.956,0.9794,-1.1678,8.8114,0
none/PNA ,0,2,756,3.2661,2.074,5.1837,26.8709,0.9609,0.9816,-1.1168,7.9496,0
none/PNA ,1,0,756,3.7558,2.4513,5.9019,34.8319,0.9494,0.9746,-0.5654,9.216,0
none/PNA ,1,1,756,3.6419,2.1545,5.7861,33.479,0.9513,0.9759,-0.7098,9.0727,0
none/PNA ,1,2,756,3.6646,2.3973,5.7049,32.5461,0.9527,0.9764,0.5677,8.7226,0
none/PNA ,2,0,756,3.3851,2.246,5.1995,27.0353,0.9607,0.9803,-0.2794,8.0707,0
none/PNA ,2,1,756,3.6139,2.3422,5.6417,31.8284,0.9537,0.9766,-0.0352,8.6068,0
none/PNA ,2,2,756,3.3784,2.4089,5.212,27.165,0.9605,0.9801,0.1654,7.7516,0
none/PNA ,3,0,756,3.8456,2.501,5.9678,35.6145,0.9482,0.9742,-0.6175,9.3768,0
none/PNA ,3,1,756,3.6745,2.0395,5.7999,33.639,0.9511,0.9769,-1.1856,9.0996,0
none/PNA ,3,2,756,3.5813,2.3156,5.658,32.0132,0.9535,0.9765,0.0938,8.4063,0
none/PNA ,4,0,756,3.4431,2.1945,5.4637,29.8525,0.9566,0.9785,-0.7181,8.7661,0
none/PNA ,4,1,756,3.4419,2.0069,5.507,30.3275,0.9559,0.9778,-0.342,8.304,0
none/PNA ,4,2,756,3.4226,2.3412,5.3968,29.1252,0.9577,0.9787,-0.2512,8.1351,0
cnn nograph,0,0,756,3.2203,2.1895,5.1236,26.2515,0.9618,0.9808,-0.1547,7.7011,0
cnn nograph,0,1,756,3.8442,2.6313,5.9024,34.8383,0.9494,0.975,-0.7708,9.1494,0
cnn nograph,0,2,756,3.4919,2.167,5.5064,30.3201,0.9559,0.9777,0.0208,8.4585,0
cnn nograph,1,0,756,3.6448,2.3265,5.6846,32.3152,0.953,0.9762,0.078,8.8524,0
cnn nograph,1,1,756,3.6679,2.5508,5.7022,32.5155,0.9527,0.9761,0.2165,8.8442,0
cnn nograph,1,2,756,3.6412,2.3236,5.7562,33.1341,0.9518,0.9756,0.0015,8.9806,0
cnn nograph,2,0,756,3.5576,2.3648,5.5385,30.6747,0.9554,0.978,-0.7604,8.6972,0
cnn nograph,2,1,756,3.4776,2.4189,5.3099,28.195,0.959,0.9794,0.4543,8.1317,0
cnn nograph,2,2,756,3.3525,1.8879,5.2227,27.2764,0.9604,0.9803,-0.5555,8.2035,0
cnn nograph,3,0,756,3.2004,1.7601,5.2455,27.5155,0.96,0.9804,-0.7794,7.5758,0
cnn nograph,3,1,756,3.4241,2.0333,5.5224,30.4965,0.9557,0.9785,-0.9651,8.1404,0
cnn nograph,3,2,756,3.368,2.0532,5.5069,30.3255,0.9559,0.9781,-0.6344,8.1313,0
cnn nograph,4,0,756,3.3288,2.0606,5.3331,28.442,0.9587,0.9799,-0.8413,8.1449,0
cnn nograph,4,1,756,3.5987,2.1901,5.7108,32.6134,0.9526,0.9768,-0.8253,8.8543,0
cnn nograph,4,2,756,3.4874,2.1499,5.4781,30.0098,0.9564,0.9784,-0.7288,8.4865,0
MLP-GA,0,0,756,3.7154,2.4779,5.6929,32.4095,0.9529,0.9762,-0.0408,9.0278,0
MLP-GA,0,1,756,3.6892,2.3841,5.7279,32.8083,0.9523,0.9768,-0.6621,8.8566,0
MLP-GA,0,2,756,3.6908,2.4176,5.6622,32.0606,0.9534,0.9766,-0.1063,9.1501,0
MLP-GA,1,0,756,3.7332,2.3945,5.8302,33.9915,0.9506,0.9753,0.4801,8.7954,0
MLP-GA,1,1,756,3.7497,2.3581,5.8299,33.9882,0.9506,0.9753,-0.3762,9.0802,0
MLP-GA,1,2,756,3.5349,2.2693,5.6076,31.4452,0.9543,0.9774,-0.6221,8.5149,0
MLP-GA,2,0,756,3.6195,2.4794,5.5145,30.4097,0.9558,0.9778,0.4187,8.3377,0
