model,fold,seed,MAE,MedAE,RMSE,MSE,R2,r,bias,p90,n_test
CNN-perm,0,0,3.2287,2.0070,5.1588,26.6133,0.9613,0.9817,-1.0944,7.9609,756
CNN-perm,0,1,3.7039,2.5378,5.6172,31.5529,0.9541,0.9769,0.3244,9.0268,756
CNN-perm,0,2,3.2953,1.9984,5.2687,27.7596,0.9596,0.9797,-0.1713,7.6701,756
CNN-perm,1,0,3.6177,2.2105,5.7938,33.5682,0.9512,0.9779,-1.6041,9.0273,756
CNN-perm,1,1,4.0608,2.5556,6.2170,38.6511,0.9438,0.9719,-0.5374,10.1952,756
CNN-perm,1,2,3.4593,2.0202,5.5357,30.6440,0.9555,0.9778,-0.5721,8.2778,756
CNN-perm,2,0,3.1455,1.8578,4.9804,24.8042,0.9639,0.9819,-0.2683,7.3966,756
CNN-perm,2,1,3.5582,2.2629,5.5451,30.7477,0.9553,0.9780,-0.7755,8.2850,756
CNN-perm,2,2,3.4503,2.3506,5.4302,29.4865,0.9571,0.9785,-0.4449,8.2301,756
CNN-perm,3,0,3.4738,2.1149,5.6379,31.7861,0.9538,0.9787,-1.4485,8.1320,756
CNN-perm,3,1,3.7227,2.3900,5.8054,33.7032,0.9510,0.9761,-0.9001,8.7123,756
CNN-perm,3,2,3.3928,2.2064,5.3874,29.0245,0.9578,0.9789,-0.4949,7.7522,756
CNN-perm,4,0,3.8049,2.1725,6.0173,36.2084,0.9474,0.9772,-1.8758,9.6474,756
CNN-perm,4,1,3.7616,2.3344,5.8891,34.6818,0.9496,0.9769,-1.4788,9.2116,756
CNN-perm,4,2,3.4594,2.2883,5.4751,29.9772,0.9564,0.9785,-0.7572,8.4520,756
